fecha,region,codigo_iso,casos,fallecidos
2020-04-02,Maule,CL-ML,82,1
2020-04-02,Ñuble,CL-NB,341,0
2020-04-02,Biobío,CL-BI,275,2
2020-04-02,Araucanía,CL-AR,389,7
2020-04-02,Los Ríos,CL-LR,68,1
2020-04-02,Los Lagos,CL-LL,203,0
2020-04-02,Aysén,CL-AI,5,0
2020-04-02,Magallanes,CL-MA,114,0
2020-04-03,Arica y Parinacota,CL-AP,12,0
2020-04-03,Tarapacá,CL-TA,13,0
2020-04-03,Antofagasta,CL-AN,54,0
2020-04-03,Atacama,CL-AT,5,0
2020-04-03,Coquimbo,CL-CO,35,0
2020-04-03,Valparaíso,CL-VS,176,1
2020-04-03,Metropolitana,CL-RM,1742,8
2020-04-03,O’Higgins,CL-LI,33,0
2020-04-03,Maule,CL-ML,89,1
2020-04-03,Ñuble,CL-NB,370,1
2020-04-03,Biobío,CL-BI,302,2
2020-04-03,Araucanía,CL-AR,432,7
2020-04-03,Los Ríos,CL-LR,78,1
2020-04-03,Los Lagos,CL-LL,234,0
2020-04-03,Aysén,CL-AI,6,0
2020-04-03,Magallanes,CL-MA,156,1
2020-04-04,Arica y Parinacota,CL-AP,12,0
2020-04-04,Tarapacá,CL-TA,17,0
2020-04-04,Antofagasta,CL-AN,55,0
2020-04-04,Atacama,CL-AT,5,0
2020-04-04,Coquimbo,CL-CO,44,0
2020-04-04,Valparaíso,CL-VS,185,1
2020-04-04,Metropolitana,CL-RM,1957,9
2020-04-04,O’Higgins,CL-LI,38,0
2020-04-04,Maule,CL-ML,97,1
2020-04-04,Ñuble,CL-NB,401,2
2020-04-04,Biobío,CL-BI,347,2
2020-04-04,Araucanía,CL-AR,477,9
2020-04-04,Los Ríos,CL-LR,89,1
2020-04-04,Los Lagos,CL-LL,259,0
2020-04-04,Aysén,CL-AI,6,0
2020-04-04,Magallanes,CL-MA,172,2
2020-04-05,Arica y Parinacota,CL-AP,28,0
2020-04-05,Tarapacá,CL-TA,20,0
2020-04-05,Antofagasta,CL-AN,60,0
2020-04-05,Atacama,CL-AT,5,0
2020-04-05,Coquimbo,CL-CO,50,0
2020-04-05,Valparaíso,CL-VS,191,1
2020-04-05,Metropolitana,CL-RM,2102,10
2020-04-05,O’Higgins,CL-LI,41,0
2020-04-05,Maule,CL-ML,103,1
2020-04-05,Ñuble,CL-NB,425,3
2020-04-05,Biobío,CL-BI,365,2
2020-04-05,Araucanía,CL-AR,509,13
2020-04-05,Los Ríos,CL-LR,99,1
2020-04-05,Los Lagos,CL-LL,276,1
2020-04-05,Aysén,CL-AI,7,0
2020-04-05,Magallanes,CL-MA,190,2
2020-04-06,Arica y Parinacota,CL-AP,41,0
2020-04-06,Tarapacá,CL-TA,21,0
2020-04-06,Antofagasta,CL-AN,68,0
2020-04-06,Atacama,CL-AT,5,0
2020-04-06,Coquimbo,CL-CO,51,0
2020-04-06,Valparaíso,CL-VS,198,1
2020-04-06,Metropolitana,CL-RM,2244,10
2020-04-06,O’Higgins,CL-LI,42,0
2020-04-06,Maule,CL-ML,108,1
2020-04-06,Ñuble,CL-NB,474,4
2020-04-06,Biobío,CL-BI,383,2
2020-04-06,Araucanía,CL-AR,562,14
2020-04-06,Los Ríos,CL-LR,104,1
2020-04-06,Los Lagos,CL-LL,286,2
2020-04-06,Aysén,CL-AI,7,0
2020-04-06,Magallanes,CL-MA,221,2
2020-04-07,Arica y Parinacota,CL-AP,53,0
2020-04-07,Tarapacá,CL-TA,23,0
2020-04-07,Antofagasta,CL-AN,69,1
2020-04-07,Atacama,CL-AT,6,0
2020-04-07,Coquimbo,CL-CO,52,0
2020-04-07,Valparaíso,CL-VS,214,1
2020-04-07,Metropolitana,CL-RM,2350,12
2020-04-07,O’Higgins,CL-LI,42,0
2020-04-07,Maule,CL-ML,108,2
2020-04-07,Ñuble,CL-NB,522,5
2020-04-07,Biobío,CL-BI,410,2
2020-04-07,Araucanía,CL-AR,612,14
2020-04-07,Los Ríos,CL-LR,109,2
2020-04-07,Los Lagos,CL-LL,299,2
2020-04-07,Aysén,CL-AI,7,0
2020-04-07,Magallanes,CL-MA,240,2
2020-04-08,Arica y Parinacota,CL-AP,63,0
2020-04-08,Tarapacá,CL-TA,26,0
2020-04-08,Antofagasta,CL-AN,77,1
2020-04-08,Atacama,CL-AT,8,0
2020-04-08,Coquimbo,CL-CO,56,0
2020-04-08,Valparaíso,CL-VS,225,2
2020-04-08,Metropolitana,CL-RM,2548,14
2020-04-08,O’Higgins,CL-LI,43,0
2020-04-08,Maule,CL-ML,119,2
2020-04-08,Ñuble,CL-NB,561,5
2020-04-08,Biobío,CL-BI,439,2
2020-04-08,Araucanía,CL-AR,669,15
2020-04-08,Los Ríos,CL-LR,114,2
2020-04-08,Los Lagos,CL-LL,325,2
2020-04-08,Aysén,CL-AI,7,0
2020-04-08,Magallanes,CL-MA,266,3
2020-04-09,Arica y Parinacota,CL-AP,75,0
2020-04-09,Tarapacá,CL-TA,29,0
2020-04-09,Antofagasta,CL-AN,92,1
2020-04-09,Atacama,CL-AT,10,0
2020-04-09,Coquimbo,CL-CO,61,0
2020-04-09,Valparaíso,CL-VS,230,2
2020-04-09,Metropolitana,CL-RM,2832,21
2020-04-09,O’Higgins,CL-LI,44,0
2020-04-09,Maule,CL-ML,128,2
2020-04-09,Ñuble,CL-NB,571,6
2020-04-09,Biobío,CL-BI,460,2
2020-04-09,Araucanía,CL-AR,689,16
2020-04-09,Los Ríos,CL-LR,118,2
2020-04-09,Los Lagos,CL-LL,340,2
2020-04-09,Aysén,CL-AI,7,0
2020-04-09,Magallanes,CL-MA,286,3
2020-04-10,Arica y Parinacota,CL-AP,87,0
2020-04-10,Tarapacá,CL-TA,35,0
2020-04-10,Antofagasta,CL-AN,110,1
2020-04-10,Atacama,CL-AT,13,0
2020-04-10,Coquimbo,CL-CO,61,0
2020-04-10,Valparaíso,CL-VS,241,2
2020-04-10,Metropolitana,CL-RM,3193,29
2020-04-10,O’Higgins,CL-LI,44,0
2020-04-10,Maule,CL-ML,131,2
2020-04-10,Ñuble,CL-NB,589,6
2020-04-10,Biobío,CL-BI,474,2
2020-04-10,Araucanía,CL-AR,712,16
2020-04-10,Los Ríos,CL-LR,124,2
2020-04-10,Los Lagos,CL-LL,349,2
2020-04-10,Aysén,CL-AI,7,0
2020-04-10,Magallanes,CL-MA,331,3
2020-04-11,Arica y Parinacota,CL-AP,107,0
2020-04-11,Tarapacá,CL-TA,38,0
2020-04-11,Antofagasta,CL-AN,117,1
2020-04-11,Atacama,CL-AT,13,0
2020-04-11,Coquimbo,CL-CO,64,0
2020-04-11,Valparaíso,CL-VS,248,2
2020-04-11,Metropolitana,CL-RM,3448,32
2020-04-11,O’Higgins,CL-LI,45,0
2020-04-11,Maule,CL-ML,134,3
2020-04-11,Ñuble,CL-NB,606,6
2020-04-11,Biobío,CL-BI,490,2
2020-04-11,Araucanía,CL-AR,739,17
2020-04-11,Los Ríos,CL-LR,130,2
2020-04-11,Los Lagos,CL-LL,364,5
2020-04-11,Aysén,CL-AI,7,0
2020-04-11,Magallanes,CL-MA,377,3
2020-04-12,Arica y Parinacota,CL-AP,115,1
2020-04-12,Tarapacá,CL-TA,46,0
2020-04-12,Antofagasta,CL-AN,138,1
2020-04-12,Atacama,CL-AT,13,0
2020-04-12,Coquimbo,CL-CO,66,0
2020-04-12,Valparaíso,CL-VS,254,2
2020-04-12,Metropolitana,CL-RM,3599,35
2020-04-12,O’Higgins,CL-LI,46,0
2020-04-12,Maule,CL-ML,138,3
2020-04-12,Ñuble,CL-NB,613,7
2020-04-12,Biobío,CL-BI,500,2
2020-04-12,Araucanía,CL-AR,775,17
2020-04-12,Los Ríos,CL-LR,135,3
2020-04-12,Los Lagos,CL-LL,372,5
2020-04-12,Aysén,CL-AI,7,0
2020-04-12,Magallanes,CL-MA,396,4
2020-04-13,Arica y Parinacota,CL-AP,115,1
2020-04-13,Tarapacá,CL-TA,52,0
2020-04-13,Antofagasta,CL-AN,149,1
2020-04-13,Atacama,CL-AT,13,0
2020-04-13,Coquimbo,CL-CO,66,0
2020-04-13,Valparaíso,CL-VS,273,2
2020-04-13,Metropolitana,CL-RM,3803,36
2020-04-13,O’Higgins,CL-LI,48,0
2020-04-13,Maule,CL-ML,141,3
2020-04-13,Ñuble,CL-NB,618,7
2020-04-13,Biobío,CL-BI,512,2
2020-04-13,Araucanía,CL-AR,795,17
2020-04-13,Los Ríos,CL-LR,138,3
2020-04-13,Los Lagos,CL-LL,380,5
2020-04-13,Aysén,CL-AI,7,0
2020-04-13,Magallanes,CL-MA,415,5
2020-04-14,Arica y Parinacota,CL-AP,120,1
2020-04-14,Tarapacá,CL-TA,62,0
2020-04-14,Antofagasta,CL-AN,155,1
2020-04-14,Atacama,CL-AT,13,0
2020-04-14,Coquimbo,CL-CO,66,0
2020-04-14,Valparaíso,CL-VS,285,2
2020-04-14,Metropolitana,CL-RM,4086,40
2020-04-14,O’Higgins,CL-LI,53,0
2020-04-14,Maule,CL-ML,142,4
2020-04-14,Ñuble,CL-NB,622,8
2020-04-14,Biobío,CL-BI,528,2
2020-04-14,Araucanía,CL-AR,816,20
2020-04-14,Los Ríos,CL-LR,148,3
2020-04-14,Los Lagos,CL-LL,385,5
2020-04-14,Aysén,CL-AI,7,0
2020-04-14,Magallanes,CL-MA,429,6
2020-04-15,Arica y Parinacota,CL-AP,124,1
2020-04-15,Tarapacá,CL-TA,62,0
2020-04-15,Antofagasta,CL-AN,176,1
2020-04-15,Atacama,CL-AT,13,0
2020-04-15,Coquimbo,CL-CO,66,0
2020-04-15,Valparaíso,CL-VS,299,2
2020-04-15,Metropolitana,CL-RM,4334,41
2020-04-15,O’Higgins,CL-LI,54,0
2020-04-15,Maule,CL-ML,152,4
2020-04-15,Ñuble,CL-NB,634,8
2020-04-15,Biobío,CL-BI,542,2
2020-04-15,Araucanía,CL-AR,826,21
2020-04-15,Los Ríos,CL-LR,150,3
2020-04-15,Los Lagos,CL-LL,390,5
2020-04-15,Aysén,CL-AI,7,0
2020-04-15,Magallanes,CL-MA,444,6
2020-04-16,Arica y Parinacota,CL-AP,129,1
2020-04-16,Tarapacá,CL-TA,66,0
2020-04-16,Antofagasta,CL-AN,192,1
2020-04-16,Atacama,CL-AT,13,0
2020-04-16,Coquimbo,CL-CO,68,0
2020-04-16,Valparaíso,CL-VS,330,4
2020-04-16,Metropolitana,CL-RM,4682,48
2020-04-16,O’Higgins,CL-LI,54,0
2020-04-16,Maule,CL-ML,167,4
2020-04-16,Ñuble,CL-NB,639,10
2020-04-16,Biobío,CL-BI,559,2
2020-04-16,Araucanía,CL-AR,882,21
2020-04-16,Los Ríos,CL-LR,153,3
2020-04-16,Los Lagos,CL-LL,399,5
2020-04-16,Aysén,CL-AI,7,0
2020-04-16,Magallanes,CL-MA,467,6
2020-04-17,Arica y Parinacota,CL-AP,134,2
2020-04-17,Tarapacá,CL-TA,73,0
2020-04-17,Antofagasta,CL-AN,211,1
2020-04-17,Atacama,CL-AT,13,0
2020-04-17,Coquimbo,CL-CO,68,0
2020-04-17,Valparaíso,CL-VS,345,4
2020-04-17,Metropolitana,CL-RM,4915,51
2020-04-17,O’Higgins,CL-LI,55,0
2020-04-17,Maule,CL-ML,223,7
2020-04-17,Ñuble,CL-NB,656,11
2020-04-17,Biobío,CL-BI,578,3
2020-04-17,Araucanía,CL-AR,907,22
2020-04-17,Los Ríos,CL-LR,154,3
2020-04-17,Los Lagos,CL-LL,412,6
2020-04-17,Aysén,CL-AI,7,0
2020-04-17,Magallanes,CL-MA,501,6
2020-04-18,Arica y Parinacota,CL-AP,142,2
2020-04-18,Tarapacá,CL-TA,81,0
2020-04-18,Antofagasta,CL-AN,226,1
2020-04-18,Atacama,CL-AT,13,0
2020-04-18,Coquimbo,CL-CO,68,0
2020-04-18,Valparaíso,CL-VS,359,4
2020-04-18,Metropolitana,CL-RM,5192,58
2020-04-18,O’Higgins,CL-LI,55,0
2020-04-18,Maule,CL-ML,276,8
2020-04-18,Ñuble,CL-NB,667,12
2020-04-18,Biobío,CL-BI,606,3
2020-04-18,Araucanía,CL-AR,944,23
2020-04-18,Los Ríos,CL-LR,156,3
2020-04-18,Los Lagos,CL-LL,416,6
2020-04-18,Aysén,CL-AI,7,0
2020-04-18,Magallanes,CL-MA,522,6
2020-04-19,Arica y Parinacota,CL-AP,145,2
2020-04-19,Tarapacá,CL-TA,90,0
2020-04-19,Antofagasta,CL-AN,249,1
2020-04-19,Atacama,CL-AT,13,0
2020-04-19,Coquimbo,CL-CO,68,0
2020-04-19,Valparaíso,CL-VS,381,5
2020-04-19,Metropolitana,CL-RM,5381,63
2020-04-19,O’Higgins,CL-LI,55,0
2020-04-19,Maule,CL-ML,302,8
2020-04-19,Ñuble,CL-NB,678,13
2020-04-19,Biobío,CL-BI,616,3
2020-04-19,Araucanía,CL-AR,972,23
2020-04-19,Los Ríos,CL-LR,157,3
2020-04-19,Los Lagos,CL-LL,421,6
2020-04-19,Aysén,CL-AI,7,0
2020-04-19,Magallanes,CL-MA,553,6
